sheet,best_model,rank,feature,predicted_value,last_value,delta,interval_lower,interval_upper
培养皿5,persistence,5,18,6.629834,6.629834,0.0,6.591201,6.665857
培养皿5,persistence,6,24,6.455365,6.455365,0.0,6.410197,6.490173
培养皿5,persistence,7,17,6.106426,6.106426,0.0,6.077665,6.139839
培养皿5,persistence,8,23,5.990113,5.990113,0.0,5.966809,6.022963
培养皿5,persistence,9,16,5.873801,5.873801,0.0,5.853633,5.905202
培养皿5,persistence,10,14,5.117767,5.117767,0.0,5.102653,5.146122
培养皿5,persistence,11,15,5.030532,5.030532,0.0,5.00694,5.039437
培养皿5,persistence,12,13,4.361733,4.361733,0.0,4.351423,4.361733
培养皿5,persistence,13,25,4.361733,4.361733,0.0,4.346542,4.360469
培养皿5,persistence,14,12,3.692934,3.692934,0.0,3.682642,3.692934
培养皿5,persistence,15,26,3.169526,3.169526,-0.0,3.151805,3.168591
培养皿5,persistence,16,11,2.820587,2.820587,0.0,2.797746,2.819731
培养皿5,persistence,17,10,1.977319,1.977319,0.0,1.967993,1.97674
培养皿5,persistence,18,9,1.599302,1.599302,0.0,1.588795,1.598828
培养皿5,persistence,19,8,1.221285,1.221285,0.0,1.210189,1.220911
培养皿5,persistence,20,7,0.843268,0.843268,0.0,0.839858,0.843022
培养皿5,persistence,21,6,0.610643,0.610643,0.0,0.609599,0.610643
培养皿5,persistence,22,4,0.378017,0.378017,0.0,0.371159,0.377907
培养皿5,persistence,23,5,0.378017,0.378017,0.0,0.377867,0.378017
培养皿5,persistence,24,2,0.145391,0.145391,0.0,0.144295,0.145391
培养皿5,persistence,25,3,0.116313,0.116313,0.0,0.116263,0.116313
培养皿5,persistence,26,1,0.029078,0.029078,0.0,0.0289,0.029078
培养皿6,persistence,1,23,16.458273,16.458273,0.0,16.387383,16.534461
培养皿6,persistence,2,22,15.731317,15.731317,0.0,15.647063,15.812831
培养皿6,persistence,3,21,12.358244,12.358244,0.0,12.28922,12.421655
培养皿6,persistence,4,20,10.642629,10.642629,0.0,10.583226,10.703032
培养皿6,persistence,5,19,9.305031,9.305031,0.0,9.269591,9.35654
培养皿6,persistence,6,18,6.687991,6.687991,0.0,6.646937,6.722756
培养皿6,persistence,7,17,6.164583,6.164583,0.0,6.138609,6.198116
培养皿6,persistence,8,16,5.466705,5.466705,0.0,5.43742,5.4965
培养皿6,persistence,9,15,3.838325,3.838325,0.0,3.810623,3.837188
培养皿6,persistence,10,14,3.402152,3.402152,0.0,3.390852,3.401172
培养皿6,persistence,11,12,2.297179,2.297179,0.0,2.291863,2.297179
培养皿6,persistence,12,13,2.239023,2.239023,0.0,2.229981,2.238352
培养皿6,persistence,13,11,1.541146,1.541146,0.0,1.5379,1.541146
培养皿6,persistence,14,10,1.163129,1.163129,0.0,1.155816,1.162785
培养皿6,persistence,15,9,0.930503,0.930503,0.0,0.92712,0.930227
培养皿6,persistence,16,8,0.726956,0.726956,0.0,0.725544,0.726743
培养皿6,persistence,17,7,0.407095,0.407095,0.0,0.406531,0.407095
培养皿6,persistence,18,6,0.261704,0.261704,0.0,0.261475,0.261704
培养皿6,persistence,19,5,0.203548,0.203548,0.0,0.203466,0.203548
培养皿6,persistence,20,2,0.058156,0.058156,0.0,0.055826,0.058141
培养皿6,persistence,21,4,0.058156,0.058156,0.0,0.058,0.058156
培养皿6,persistence,22,1,0.029078,0.029078,0.0,0.029065,0.029078
培养皿6,persistence,23,3,0.029078,0.029078,0.0,0.029078,0.029078
培养皿7,persistence,1,16,6.775225,6.775225,0.0,6.740963,6.810972
培养皿7,persistence,2,1,6.746147,6.746147,0.0,6.714597,6.781464
培养皿7,persistence,3,15,6.746147,6.746147,0.0,6.711349,6.780342
培养皿7,persistence,4,12,6.484443,6.484443,0.0,6.454041,6.521911
培养皿7,persistence,5,11,6.397208,6.397208,0.0,6.344728,6.432539
培养皿7,persistence,6,6,6.309974,6.309974,0.0,6.274019,6.343394
培养皿7,persistence,7,14,6.280896,6.280896,0.0,6.244294,6.315545
培养皿7,persistence,8,7,6.222739,6.222739,0.0,6.181294,6.258236
培养皿7,persistence,9,3,6.193661,6.193661,0.0,6.166258,6.226842
培养皿7,persistence,10,9,6.164583,6.164583,0.0,6.136925,6.201368
培养皿7,persistence,11,5,6.135505,6.135505,0.0,6.116894,6.168085
培养皿7,persistence,12,4,6.077348,6.077348,0.0,6.054881,6.109157
培养皿7,persistence,13,10,5.902879,5.902879,0.0,5.884554,5.934601
培养皿7,persistence,14,2,5.873801,5.873801,0.0,5.843956,5.906582
培养皿7,persistence,15,13,5.873801,5.873801,0.0,5.830502,5.905694
培养皿7,persistence,16,8,5.815644,5.815644,0.0,5.793648,5.847235
